stationid,Est: Total,MoE: Total,Est: Total: White alone,MoE: Total: White alone,Est: Total: Black or African American alone,MoE: Total: Black or African American alone,Est: Total: American Indian and Alaska Native alone,MoE: Total: American Indian and Alaska Native alone,Est: Total: Asian alone,MoE: Total: Asian alone,Est: Total: Native Hawaiian and Other Pacific Islander alone,MoE: Total: Native Hawaiian and Other Pacific Islander alone,Est: Total: Some other race alone,MoE: Total: Some other race alone,Est: Total: Two or more races,MoE: Total: Two or more races,Est: Total: Two or more races: Two races including Some other race,MoE: Total: Two or more races: Two races including Some other race,"Est: Total: Two or more races: Two races excluding Some other race, and three or more races","MoE: Total: Two or more races: Two races excluding Some other race, and three or more races",NAME,state,county,tract,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!Not Hispanic or Latino,Margin of Error!!Total!!Not Hispanic or Latino,Estimate!!Total!!Not Hispanic or Latino!!White alone,Margin of Error!!Total!!Not Hispanic or Latino!!White alone,Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone,Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone,Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone,Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone,Estimate!!Total!!Not Hispanic or Latino!!Asian alone,Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone,Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Not Hispanic or Latino!!Some other race alone,Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone,Estimate!!Total!!Not Hispanic or Latino!!Two or more races,Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races,Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,"Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races",Estimate!!Total!!Hispanic or Latino,Margin of Error!!Total!!Hispanic or Latino,Estimate!!Total!!Hispanic or Latino!!White alone,Margin of Error!!Total!!Hispanic or Latino!!White alone,Estimate!!Total!!Hispanic or Latino!!Black or African American alone,Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone,Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone,Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone,Estimate!!Total!!Hispanic or Latino!!Asian alone,Margin of Error!!Total!!Hispanic or Latino!!Asian alone,Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Hispanic or Latino!!Some other race alone,Margin of Error!!Total!!Hispanic or Latino!!Some other race alone,Estimate!!Total!!Hispanic or Latino!!Two or more races,Margin of Error!!Total!!Hispanic or Latino!!Two or more races,Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race,Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race,"Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races",Est: Poverty Status Past 12 Months,Est: Poverty Status Past 12 Months (White),Est: Poverty Status Past 12 Months (Black),Est: Poverty Status Past 12 Months (Native American),Est: Poverty Status Past 12 Months (Asian),Est: Poverty Status Past 12 Months (Native Hawiian/Pacific Islander),Est: Poverty Status Past 12 Months (Other),Est: Poverty Status Past 12 Months (Two or more races),Est: Poverty Status Past 12 Months (Non-Hispanic White),Est: Poverty Status Past 12 Months (Hispanic or Latino)
391.0,36560,3757,9029,2658,1203,759,66,146,10505,2247,0,97,14733,3667,1024,817,331,340,693,718,"Census Tract 80, Kings County, New YorkCensus Tract 20, Kings County, New YorkCensus Tract 76, Kings County, New YorkCensus Tract 74, Kings County, New YorkCensus Tract 78, Kings County, New YorkCensus Tract 100, Kings County, New YorkCensus Tract 98, Kings County, New York",252,329,52600,36560,3757,13741,2428,2228,994,733,515,41,132,10449,2235,0,97,101,196,189,227,23,105,166,212,22819,3720,6801,2495,470,441,25,111,56,129,0,97,14632,3670,835,734,308,338,527,652,12411,2499,178,9,3913,0,5598,214,386,8048
392.0,28553,3736,19359,3522,725,708,13,85,4145,1556,0,76,3810,2048,501,501,252,355,249,351,"Census Tract 224, Kings County, New YorkCensus Tract 110, Kings County, New YorkCensus Tract 220, Kings County, New YorkCensus Tract 114, Kings County, New YorkCensus Tract 112, Kings County, New YorkCensus Tract 222, Kings County, New York",216,282,100200,28553,3736,22531,3778,17501,3551,550,494,13,85,4145,1556,0,76,85,156,237,336,36,101,201,303,6022,2291,1858,1105,175,267,0,76,0,76,0,76,3725,2040,264,363,216,333,48,107,10936,8024,96,13,1228,0,1475,100,7788,1828
393.0,12436,1303,6686,1079,395,282,92,124,728,390,0,33,3791,1325,744,473,209,189,535,419,"Census Tract 143, Kings County, New YorkCensus Tract 145, Kings County, New YorkCensus Tract 101, Kings County, New York",108,141,38900,12436,1303,6150,885,4690,743,339,241,84,122,728,390,0,33,53,62,256,192,56,94,200,143,6286,1236,1996,810,56,100,8,35,0,33,0,33,3738,1322,488,420,153,156,335,379,2385,952,129,0,64,0,1124,116,550,1651
394.0,20346,1988,16852,1963,250,207,18,75,1257,690,0,60,1091,875,878,496,186,239,692,434,"Census Tract 75, Kings County, New YorkCensus Tract 65, Kings County, New YorkCensus Tract 77, Kings County, New YorkCensus Tract 63, Kings County, New YorkCensus Tract 67, Kings County, New York",180,235,34700,20346,1988,17870,2005,15662,1946,239,200,0,60,1251,689,0,60,61,97,657,417,0,60,657,417,2476,1220,1190,733,11,66,18,75,6,58,0,60,1030,871,221,256,186,239,35,93,1033,869,65,0,18,0,37,44,641,266
395.0,25436,2971,21033,2673,617,441,54,132,2473,1067,0,76,353,355,906,706,27,85,879,701,"Census Tract 47, New York County, New YorkCensus Tract 49, New York County, New YorkCensus Tract 55.01, New York County, New YorkCensus Tract 65, New York County, New YorkCensus Tract 67, New York County, New YorkCensus Tract 37, New York County, New York",216,366,32001,25436,2971,24389,2949,20222,2661,610,438,18,101,2473,1067,0,76,160,251,906,706,27,85,879,701,1047,579,811,506,7,73,36,107,0,76,0,76,193,231,0,76,0,76,0,76,1710,1337,24,20,260,0,40,29,1266,133
396.0,38122,3608,18042,3071,3467,1682,14,87,1111,628,58,154,12946,3484,2484,1436,1051,919,1433,1093,"Census Tract 263, New York County, New YorkCensus Tract 265, New York County, New YorkCensus Tract 271, New York County, New YorkCensus Tract 273, New York County, New YorkCensus Tract 275, New York County, New York",180,305,134700,38122,3608,15504,2305,11661,2076,1896,1107,0,75,1076,614,0,75,206,278,665,470,55,147,610,435,22618,3576,6381,2444,1571,1199,14,87,35,98,58,154,12740,3489,1819,1272,996,881,823,873,8299,3538,750,0,174,58,3264,515,1673,5920
397.0,33892,3032,12807,2294,2856,1157,278,453,1081,716,163,313,15031,3251,1676,974,740,654,936,665,"Census Tract 285, New York County, New YorkCensus Tract 287, New York County, New YorkCensus Tract 279, New York County, New YorkCensus Tract 281, New York County, New YorkCensus Tract 283, New York County, New York",180,305,141500,33892,3032,10585,1565,7389,1212,1674,732,17,86,1033,709,0,72,51,107,421,396,7,71,414,396,23307,3251,5418,2026,1182,907,261,435,48,105,163,313,14980,3258,1255,844,733,650,522,469,6021,1827,482,0,188,163,3096,265,790,4837
398.0,38362,3951,12181,2324,18900,3312,43,140,2881,1320,27,142,3175,1698,1155,883,297,400,858,756,"Census Tract 197.01, New York County, New YorkCensus Tract 197.02, New York County, New YorkCensus Tract 201.01, New York County, New YorkCensus Tract 201.02, New York County, New YorkCensus Tract 207.01, New York County, New YorkCensus Tract 216, New York County, New YorkCensus Tract 218, New York County, New YorkCensus Tract 220, New York County, New YorkCensus Tract 257, New York County, New York",324,549,191407,38362,3951,31812,3661,10308,2117,17579,3192,43,140,2881,1320,0,114,174,245,827,689,128,253,699,646,6550,2107,1873,1011,1321,944,0,114,0,114,27,142,3001,1682,328,424,169,285,159,265,9196,1677,5225,0,765,0,1167,362,1486,1921
399.0,32796,3338,7379,1888,17129,2836,84,191,1769,854,0,87,5545,2091,890,681,265,367,625,527,"Census Tract 207.01, New York County, New YorkCensus Tract 209.01, New York County, New YorkCensus Tract 213.03, New York County, New YorkCensus Tract 215, New York County, New YorkCensus Tract 222, New York County, New YorkCensus Tract 224, New York County, New YorkCensus Tract 257, New York County, New York",252,427,154705,32796,3338,24305,3113,5604,1533,16311,2794,32,100,1769,854,0,87,96,168,493,447,47,126,446,441,8491,2261,1775,1005,818,674,52,174,0,87,0,87,5449,2086,397,415,218,328,179,228,10805,1274,6824,59,485,0,1987,176,769,2896
400.0,30180,3630,18611,3069,1008,714,110,212,7957,1977,26,108,1203,800,1265,930,108,187,1157,889,"Census Tract 41, New York County, New YorkCensus Tract 43, New York County, New YorkCensus Tract 45, New York County, New YorkCensus Tract 47, New York County, New YorkCensus Tract 49, New York County, New YorkCensus Tract 55.01, New York County, New YorkCensus Tract 55.02, New York County, New YorkCensus Tract 36.01, New York County, New York",288,488,37104,30180,3630,27452,3508,17233,2766,729,510,94,199,7942,1974,26,108,261,425,1167,901,34,137,1133,880,2728,1216,1378,994,279,402,16,106,15,101,0,93,942,612,98,171,74,159,24,118,4223,1340,423,46,1876,0,359,179,1140,592
401.0,56053,5201,44633,4652,2101,1458,40,177,6977,2429,20,165,528,527,1754,1202,251,413,1503,1071,"Census Tract 38, New York County, New YorkCensus Tract 40, New York County, New YorkCensus Tract 42, New York County, New YorkCensus Tract 55.01, New York County, New YorkCensus Tract 55.02, New York County, New YorkCensus Tract 57, New York County, New YorkCensus Tract 59, New York County, New YorkCensus Tract 61, New York County, New YorkCensus Tract 63, New York County, New YorkCensus Tract 65, New York County, New York",360,610,53503,56053,5201,52499,4949,41871,4450,1986,1415,40,177,6955,2425,20,165,206,359,1421,1034,85,193,1336,1014,3554,1598,2762,1434,115,206,0,145,22,153,0,145,322,363,333,506,166,358,167,326,4332,3155,271,10,674,0,117,105,2725,592
402.0,27048,2506,18965,2411,983,540,36,81,5955,1346,0,59,575,570,534,404,111,183,423,323,"Census Tract 7, New York County, New YorkCensus Tract 13, New York County, New YorkCensus Tract 15.01, New York County, New YorkCensus Tract 15.02, New York County, New York",144,244,5003,27048,2506,24913,2402,17589,2342,946,535,36,81,5899,1352,0,59,68,144,375,281,32,90,343,257,2135,1041,1376,685,37,76,0,59,56,121,0,59,507,550,159,238,79,160,80,133,2409,1411,57,0,872,0,57,12,1233,195
403.0,22657,1846,16565,1753,578,374,10,62,3915,965,0,54,619,633,970,748,51,108,919,706,"Census Tract 317.03, New York County, New YorkCensus Tract 13, New York County, New YorkCensus Tract 21, New York County, New YorkCensus Tract 31, New York County, New York",144,244,38203,22657,1846,21108,1776,15690,1682,508,366,10,62,3915,965,0,54,102,162,883,663,32,92,851,646,1549,924,875,505,70,107,0,54,0,54,0,54,517,635,87,168,19,78,68,134,1100,672,71,0,279,0,53,25,565,147
404.0,23288,1897,17496,1922,642,393,10,67,3537,906,0,59,519,516,1084,791,57,101,1027,760,"Census Tract 317.03, New York County, New YorkCensus Tract 21, New York County, New YorkCensus Tract 31, New York County, New YorkCensus Tract 33, New York County, New York",144,244,40203,23288,1897,21827,1872,16514,1822,591,385,10,67,3537,906,0,59,91,159,1084,791,57,101,1027,760,1461,992,982,702,51,89,0,59,0,59,0,59,428,520,0,59,0,59,0,59,984,640,71,0,175,0,53,45,576,104
405.0,18909,1651,11435,1269,2511,799,35,85,2382,699,11,73,1732,785,803,413,150,165,653,367,"Census Tract 43, Kings County, New YorkCensus Tract 11, Kings County, New YorkCensus Tract 41, Kings County, New YorkCensus Tract 15, Kings County, New YorkCensus Tract 37, Kings County, New YorkCensus Tract 9, Kings County, New York",216,282,15600,18909,1651,16118,1535,10672,1194,2381,767,26,88,2348,688,11,73,94,149,586,342,19,81,567,335,2791,917,763,426,130,172,9,68,34,113,0,71,1638,759,217,206,131,153,86,131,2520,801,831,17,225,0,614,32,616,856
406.0,18241,1607,13147,1375,1253,635,26,83,1932,730,0,66,1096,621,787,410,87,124,700,392,"Census Tract 43, Kings County, New YorkCensus Tract 11, Kings County, New YorkCensus Tract 5.02, Kings County, New YorkCensus Tract 13, Kings County, New YorkCensus Tract 5.01, Kings County, New YorkCensus Tract 9, Kings County, New York",216,282,8603,18241,1607,16249,1480,12476,1350,1116,596,26,83,1888,717,0,66,64,114,679,389,41,94,638,373,1992,888,671,475,137,192,0,66,44,113,0,66,1032,613,108,146,46,96,62,118,2011,1105,330,17,180,0,342,37,1073,439
407.0,39759,4238,4033,1766,9418,2953,449,564,1002,877,40,155,23146,4502,1671,1092,1136,846,535,569,"Census Tract 237.03, Bronx County, New YorkCensus Tract 237.04, Bronx County, New YorkCensus Tract 239, Bronx County, New YorkCensus Tract 251, Bronx County, New YorkCensus Tract 253, Bronx County, New YorkCensus Tract 255, Bronx County, New YorkCensus Tract 383.01, Bronx County, New York",252,35,185508,39759,4238,10189,2758,595,527,8059,2637,165,267,963,859,0,102,114,216,293,350,128,239,165,272,29570,4288,3438,1679,1359,1180,284,431,39,147,40,155,23032,4523,1378,949,1008,756,370,438,16253,1471,3438,112,123,0,10100,1009,195,12959
408.0,46131,4660,5795,2402,9513,2733,478,569,1655,969,0,134,26435,4993,2255,1616,1053,843,1202,1282,"Census Tract 237.02, Bronx County, New YorkCensus Tract 237.03, Bronx County, New YorkCensus Tract 239, Bronx County, New YorkCensus Tract 253, Bronx County, New YorkCensus Tract 261, Bronx County, New YorkCensus Tract 263, Bronx County, New YorkCensus Tract 265, Bronx County, New YorkCensus Tract 399.02, Bronx County, New YorkCensus Tract 401, Bronx County, New York",324,45,255507,46131,4660,11939,2629,1653,1077,8292,2436,228,363,1521,914,0,134,52,160,193,308,10,134,183,304,34192,4818,4142,1974,1221,1073,250,370,134,297,0,134,26383,4995,2062,1531,1043,843,1019,1192,16461,1910,3061,181,290,0,10227,792,353,13383
409.0,22657,1846,16565,1753,578,374,10,62,3915,965,0,54,619,633,970,748,51,108,919,706,"Census Tract 317.03, New York County, New YorkCensus Tract 13, New York County, New YorkCensus Tract 21, New York County, New YorkCensus Tract 31, New York County, New York",144,244,38203,22657,1846,21108,1776,15690,1682,508,366,10,62,3915,965,0,54,102,162,883,663,32,92,851,646,1549,924,875,505,70,107,0,54,0,54,0,54,517,635,87,168,19,78,68,134,1100,672,71,0,279,0,53,25,565,147
410.0,13565,1741,10831,1560,436,305,0,54,1319,584,0,54,150,216,829,600,154,211,675,510,"Census Tract 39, New York County, New YorkCensus Tract 45, New York County, New YorkCensus Tract 47, New York County, New YorkCensus Tract 33, New York County, New York",144,244,16400,13565,1741,12516,1608,10055,1475,436,305,0,54,1272,559,0,54,37,78,716,533,68,104,648,501,1049,739,776,565,0,54,0,54,47,111,0,54,113,209,113,188,86,178,27,86,833,632,19,0,140,0,0,42,560,119
411.0,40787,4502,9137,2608,17901,3354,533,710,857,653,0,102,7941,3393,4418,2387,987,995,3431,2032,"Census Tract 231, New York County, New YorkCensus Tract 235.01, New York County, New YorkCensus Tract 235.02, New York County, New YorkCensus Tract 237, New York County, New YorkCensus Tract 239, New York County, New YorkCensus Tract 241, New York County, New YorkCensus Tract 243.02, New York County, New York",252,427,166105,40787,4502,21510,3270,4388,1494,15022,2910,61,151,857,653,0,102,130,206,1052,896,162,298,890,790,19277,4186,4749,2114,2879,1812,472,687,0,102,0,102,7811,3374,3366,2169,825,840,2541,1793,11683,2106,5087,190,74,0,3112,1114,733,6779
412.0,50030,5779,13832,4090,14204,3259,770,1031,950,722,0,110,16178,4323,4096,2364,1718,1295,2378,1777,"Census Tract 239, New York County, New YorkCensus Tract 241, New York County, New YorkCensus Tract 243.01, New York County, New YorkCensus Tract 243.02, New York County, New YorkCensus Tract 245, New York County, New YorkCensus Tract 247, New York County, New YorkCensus Tract 249, New York County, New YorkCensus Tract 251, New York County, New York",288,488,195803,50030,5779,17279,3134,4112,1447,11218,2730,37,148,943,716,0,110,444,487,525,484,86,187,439,441,32751,5590,9720,3971,2986,1751,733,1019,7,109,0,110,15734,4299,3571,2234,1632,1272,1939,1603,14956,4443,3965,501,59,0,4538,1450,866,10812
413.0,33783,2928,24249,2866,1083,606,36,97,6976,1536,0,75,595,600,844,550,111,199,733,469,"Census Tract 7, New York County, New YorkCensus Tract 13, New York County, New YorkCensus Tract 15.01, New York County, New YorkCensus Tract 15.02, New York County, New YorkCensus Tract 21, New York County, New York",180,305,7103,33783,2928,31420,2844,22667,2809,1044,600,36,97,6920,1542,0,75,68,160,685,427,32,106,653,403,2363,1143,1582,782,39,81,0,75,56,137,0,75,527,580,159,254,79,176,80,149,2600,1501,78,0,937,0,58,26,1322,199
414.0,28440,2686,12951,1822,2276,848,450,566,10368,1828,0,86,1519,811,876,502,117,154,759,473,"Census Tract 15.01, New York County, New YorkCensus Tract 21, New York County, New YorkCensus Tract 25, New York County, New YorkCensus Tract 27, New York County, New YorkCensus Tract 29, New York County, New YorkCensus Tract 31, New York County, New York",216,366,14801,28440,2686,24751,2508,11115,1441,2067,811,450,566,10306,1834,0,86,25,93,788,478,54,129,734,461,3689,1195,1836,856,209,220,0,86,62,147,0,86,1494,809,88,130,63,125,25,90,4551,700,390,420,2409,0,588,44,372,959
415.0,24969,2665,12117,2014,1344,595,55,116,9891,1785,6,76,504,407,1052,726,163,178,889,670,"Census Tract 41, New York County, New YorkCensus Tract 45, New York County, New YorkCensus Tract 47, New York County, New YorkCensus Tract 29, New York County, New YorkCensus Tract 31, New York County, New YorkCensus Tract 33, New York County, New York",216,366,22600,24969,2665,23143,2690,11074,1929,1097,467,55,116,9876,1782,6,76,60,160,975,707,100,153,875,663,1826,927,1043,678,247,320,0,81,15,89,0,81,444,379,77,129,63,120,14,89,3069,674,178,0,2122,0,30,65,624,214
416.0,21960,1858,11926,1386,1450,474,25,77,7358,1205,0,59,409,288,792,445,117,127,675,416,"Census Tract 15.01, New York County, New YorkCensus Tract 21, New York County, New YorkCensus Tract 29, New York County, New YorkCensus Tract 31, New York County, New York",144,244,9601,21960,1858,20176,1842,10804,1318,1311,469,25,77,7302,1211,0,59,19,72,715,426,54,102,661,409,1784,614,1122,509,139,119,0,59,56,121,0,59,390,286,77,107,63,98,14,67,1977,404,119,0,1402,0,27,25,344,100
417.0,18919,2037,11389,1820,580,424,40,90,5877,1230,6,60,274,277,753,601,57,107,696,570,"Census Tract 41, New York County, New YorkCensus Tract 45, New York County, New YorkCensus Tract 47, New York County, New YorkCensus Tract 31, New York County, New YorkCensus Tract 33, New York County, New York",180,305,19700,18919,2037,17788,2086,10621,1767,446,301,40,90,5862,1227,6,60,60,144,753,601,57,107,696,570,1131,767,768,585,134,250,0,65,15,73,0,65,214,249,0,65,0,65,0,65,2104,631,178,0,1200,0,30,65,598,197
418.0,1626,229,1260,222,30,44,0,22,207,109,0,22,91,88,38,36,0,22,38,36,"Census Tract 319, New York County, New YorkCensus Tract 9, New York County, New York",72,122,32800,1626,229,1493,230,1210,219,30,44,0,22,207,109,0,22,8,23,38,36,0,22,38,36,133,94,50,46,0,22,0,22,0,22,0,22,83,86,0,22,0,22,0,22,98,65,0,0,16,0,0,17,65,0
419.0,21681,2375,15643,2236,438,378,0,65,4429,1185,0,65,490,522,681,466,163,243,518,382,"Census Tract 317.04, New York County, New YorkCensus Tract 319, New York County, New YorkCensus Tract 7, New York County, New YorkCensus Tract 9, New York County, New YorkCensus Tract 13, New York County, New York",180,305,66504,21681,2375,19587,2116,14228,1995,414,378,0,65,4429,1185,0,65,89,155,427,313,48,116,379,297,2094,1292,1415,953,24,76,0,65,0,65,0,65,401,498,254,362,115,215,139,237,1614,1065,21,0,430,0,70,28,970,111
420.0,27433,2729,19537,2588,696,496,36,92,5829,1399,0,70,532,565,803,523,174,254,629,428,"Census Tract 317.04, New York County, New YorkCensus Tract 319, New York County, New YorkCensus Tract 7, New York County, New YorkCensus Tract 13, New York County, New YorkCensus Tract 15.02, New York County, New York",180,305,67106,27433,2729,25047,2477,17881,2346,672,496,36,92,5829,1399,0,70,81,159,548,370,59,127,489,343,2386,1385,1656,1061,24,81,0,70,0,70,0,70,451,543,255,353,115,220,140,228,2055,1393,23,0,557,0,70,12,1247,163
421.0,10420,1143,7684,1133,244,202,0,38,2012,599,0,38,319,311,161,132,60,115,101,100,"Census Tract 319, New York County, New YorkCensus Tract 7, New York County, New YorkCensus Tract 9, New York County, New York",108,183,33500,10420,1143,9706,1084,7300,1134,239,202,0,38,2012,599,0,38,65,116,90,94,0,38,90,94,714,445,384,227,5,26,0,38,0,38,0,38,254,291,71,117,60,115,11,46,1032,639,7,0,301,0,57,28,599,56
422.0,20055,2157,14383,2025,408,345,0,54,4222,1087,0,54,399,445,643,441,163,232,480,357,"Census Tract 317.04, New York County, New YorkCensus Tract 319, New York County, New YorkCensus Tract 7, New York County, New YorkCensus Tract 13, New York County, New York",144,244,65604,20055,2157,18094,1897,13018,1787,384,345,0,54,4222,1087,0,54,81,143,389,288,48,105,341,272,1961,1209,1365,918,24,65,0,54,0,54,0,54,318,423,254,351,115,204,139,226,1516,1000,21,0,414,0,70,11,905,111
423.0,21990,2383,18646,2560,530,403,66,117,1439,1039,39,119,955,749,315,391,51,107,264,369,"Census Tract 579, Queens County, New YorkCensus Tract 581, Queens County, New YorkCensus Tract 583, Queens County, New YorkCensus Tract 585, Queens County, New YorkCensus Tract 587, Queens County, New YorkCensus Tract 613.01, Queens County, New York",216,486,352801,21990,2383,13933,2074,12008,2066,299,285,33,97,1429,1038,0,71,19,77,145,236,0,71,145,236,8057,2478,6638,2477,231,270,33,96,10,76,39,119,936,752,170,218,51,107,119,196,3253,2739,9,13,242,0,244,6,1096,1896
424.0,8057,691,6637,776,200,175,0,38,573,435,0,38,482,370,165,196,7,37,158,195,"Census Tract 613.01, Queens County, New YorkCensus Tract 613.02, Queens County, New YorkCensus Tract 657.02, Queens County, New York",108,243,188305,8057,691,5612,719,4825,671,136,149,0,38,573,435,0,38,19,44,59,136,0,38,59,136,2445,675,1812,639,64,107,0,38,0,38,0,38,463,373,106,98,7,37,99,97,1403,1003,12,0,175,0,213,0,439,777
425.0,20055,2157,14383,2025,408,345,0,54,4222,1087,0,54,399,445,643,441,163,232,480,357,"Census Tract 317.04, New York County, New YorkCensus Tract 319, New York County, New YorkCensus Tract 7, New York County, New YorkCensus Tract 13, New York County, New York",144,244,65604,20055,2157,18094,1897,13018,1787,384,345,0,54,4222,1087,0,54,81,143,389,288,48,105,341,272,1961,1209,1365,918,24,65,0,54,0,54,0,54,318,423,254,351,115,204,139,226,1516,1000,21,0,414,0,70,11,905,111
426.0,26871,2306,19683,2204,459,362,0,59,4846,1129,0,59,645,677,1238,864,103,160,1135,812,"Census Tract 317.03, New York County, New YorkCensus Tract 317.04, New York County, New YorkCensus Tract 13, New York County, New YorkCensus Tract 21, New York County, New York",144,244,66807,26871,2306,24600,2084,18203,1926,400,348,0,59,4846,1129,0,59,96,158,1055,749,48,110,1007,733,2271,1421,1480,1019,59,101,0,59,0,59,0,59,549,679,183,277,55,132,128,223,1153,859,35,0,205,0,40,14,762,100
427.0,33783,2928,24249,2866,1083,606,36,97,6976,1536,0,75,595,600,844,550,111,199,733,469,"Census Tract 7, New York County, New YorkCensus Tract 13, New York County, New YorkCensus Tract 15.01, New York County, New YorkCensus Tract 15.02, New York County, New YorkCensus Tract 21, New York County, New York",180,305,7103,33783,2928,31420,2844,22667,2809,1044,600,36,97,6920,1542,0,75,68,160,685,427,32,106,653,403,2363,1143,1582,782,39,81,0,75,56,137,0,75,527,580,159,254,79,176,80,149,2600,1501,78,0,937,0,58,26,1322,199
428.0,29059,2947,20797,2799,726,529,36,103,6036,1497,0,81,623,642,841,548,174,265,667,453,"Census Tract 317.04, New York County, New YorkCensus Tract 319, New York County, New YorkCensus Tract 7, New York County, New YorkCensus Tract 9, New York County, New YorkCensus Tract 13, New York County, New YorkCensus Tract 15.02, New York County, New York",216,366,68006,29059,2947,26540,2696,19091,2554,702,529,36,103,6036,1497,0,81,89,171,586,395,59,138,527,368,2519,1468,1706,1096,24,92,0,81,0,81,0,81,534,618,255,364,115,231,140,239,2153,1458,23,0,573,0,70,29,1312,163
429.0,17996,1654,13243,1558,294,242,0,43,3438,776,0,43,191,241,830,480,103,144,727,428,"Census Tract 317.04, New York County, New YorkCensus Tract 13, New York County, New YorkCensus Tract 21, New York County, New York",108,183,35104,17996,1654,16388,1474,12006,1328,273,241,0,43,3438,776,0,43,24,55,647,365,48,94,599,349,1608,949,1237,823,21,55,0,43,0,43,0,43,167,237,183,261,55,116,128,207,773,516,35,0,194,0,14,14,460,59
430.0,28674,2724,20225,2622,1013,573,36,92,6162,1444,0,70,666,647,572,429,111,194,461,348,"Census Tract 7, New York County, New YorkCensus Tract 9, New York County, New YorkCensus Tract 13, New York County, New YorkCensus Tract 15.01, New York County, New YorkCensus Tract 15.02, New York County, New York",180,305,5903,28674,2724,26406,2621,18799,2550,976,568,36,92,6106,1450,0,70,76,156,413,306,32,101,381,282,2268,1124,1426,720,37,87,0,70,56,132,0,70,590,625,159,249,79,171,80,144,2507,1476,57,0,888,0,57,29,1298,195
431.0,32414,2818,10504,2053,2334,904,123,164,869,522,211,344,16838,3427,1535,724,537,413,998,600,"Census Tract 285, New York County, New YorkCensus Tract 287, New York County, New YorkCensus Tract 291, New York County, New YorkCensus Tract 295, New York County, New York",144,244,115800,32414,2818,6868,1254,4472,907,1045,567,17,75,796,510,18,74,133,182,387,297,17,72,370,292,25546,2981,6032,1806,1289,746,106,146,73,112,193,331,16705,3437,1148,628,520,408,628,464,8024,2306,594,16,94,211,4445,358,440,7136
432.0,32283,3620,11647,2485,1025,632,81,158,16978,2885,6,76,1550,942,996,771,156,221,840,704,"Census Tract 41, New York County, New YorkCensus Tract 43, New York County, New YorkCensus Tract 45, New York County, New YorkCensus Tract 16, New York County, New YorkCensus Tract 18, New York County, New YorkCensus Tract 36.01, New York County, New York",216,366,19901,32283,3620,29043,3570,10196,2239,697,406,81,158,16963,2882,6,76,250,420,850,716,34,125,816,695,3240,1308,1451,951,328,453,0,81,15,89,0,81,1300,779,146,205,122,193,24,106,7968,1151,508,51,5482,0,505,271,860,818
433.0,32226,3910,23175,3428,1465,808,118,250,4795,1722,20,124,1177,749,1476,1077,163,227,1313,1023,"Census Tract 43, New York County, New YorkCensus Tract 45, New York County, New YorkCensus Tract 49, New York County, New YorkCensus Tract 55.01, New York County, New YorkCensus Tract 55.02, New York County, New YorkCensus Tract 57, New York County, New YorkCensus Tract 65, New York County, New YorkCensus Tract 36.01, New York County, New YorkCensus Tract 36.02, New York County, New York",324,549,44106,32226,3910,29037,3669,21248,3034,1274,730,102,237,4795,1722,20,124,265,417,1333,1037,72,164,1261,1012,3189,1297,1927,1176,191,250,16,117,0,104,0,104,912,563,143,224,91,180,52,151,4073,1929,531,46,941,0,388,238,1485,774
