,Est: Total,MoE: Total,Est: Total: White alone,MoE: Total: White alone,Est: Total: Black or African American alone,MoE: Total: Black or African American alone,Est: Total: American Indian and Alaska Native alone,MoE: Total: American Indian and Alaska Native alone,Est: Total: Asian alone,MoE: Total: Asian alone,Est: Total: Native Hawaiian and Other Pacific Islander alone,MoE: Total: Native Hawaiian and Other Pacific Islander alone,Est: Total: Some other race alone,MoE: Total: Some other race alone,Est: Total: Two or more races,MoE: Total: Two or more races,Est: Total: Two or more races: Two races including Some other race,MoE: Total: Two or more races: Two races including Some other race,"Est: Total: Two or more races: Two races excluding Some other race, and three or more races","MoE: Total: Two or more races: Two races excluding Some other race, and three or more races",NAME,state,county,tract,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!Not Hispanic or Latino,Margin of Error!!Total!!Not Hispanic or Latino,Estimate!!Total!!Not Hispanic or Latino!!White alone,Margin of Error!!Total!!Not Hispanic or Latino!!White alone,Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone,Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone,Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone,Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone,Estimate!!Total!!Not Hispanic or Latino!!Asian alone,Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone,Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Not Hispanic or Latino!!Some other race alone,Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone,Estimate!!Total!!Not Hispanic or Latino!!Two or more races,Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races,Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,"Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races",Estimate!!Total!!Hispanic or Latino,Margin of Error!!Total!!Hispanic or Latino,Estimate!!Total!!Hispanic or Latino!!White alone,Margin of Error!!Total!!Hispanic or Latino!!White alone,Estimate!!Total!!Hispanic or Latino!!Black or African American alone,Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone,Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone,Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone,Estimate!!Total!!Hispanic or Latino!!Asian alone,Margin of Error!!Total!!Hispanic or Latino!!Asian alone,Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Hispanic or Latino!!Some other race alone,Margin of Error!!Total!!Hispanic or Latino!!Some other race alone,Estimate!!Total!!Hispanic or Latino!!Two or more races,Margin of Error!!Total!!Hispanic or Latino!!Two or more races,Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race,Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race,"Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races",Est: Poverty Status Past 12 Months,Est: Poverty Status Past 12 Months (White),Est: Poverty Status Past 12 Months (Black),Est: Poverty Status Past 12 Months (Native American),Est: Poverty Status Past 12 Months (Asian),Est: Poverty Status Past 12 Months (Native Hawiian/Pacific Islander),Est: Poverty Status Past 12 Months (Other),Est: Poverty Status Past 12 Months (Two or more races),Est: Poverty Status Past 12 Months (Non-Hispanic White),Est: Poverty Status Past 12 Months (Hispanic or Latino)
1400000US36081018800,1476,186,11,9,1141,203,10,11,167,103,0,11,129,117,18,16,14,16,4,5,"Census Tract 188, Queens County, New York",36,081,018800,1476,186,1237,176,10,8,1046,188,0,11,167,103,0,11,0,11,14,15,10,14,4,5,239,163,1,3,95,112,10,11,0,11,0,11,129,117,4,7,4,7,0,11,151,6,137,0,5,0,2,1,6,13
1400000US36081018900,3470,442,1859,401,241,236,0,11,955,346,0,11,255,184,160,99,92,75,68,69,"Census Tract 189, Queens County, New York",36,081,018900,3470,442,2012,426,903,229,58,39,0,11,955,346,0,11,10,16,86,89,41,64,45,60,1458,455,956,416,183,235,0,11,0,11,0,11,245,181,74,62,51,52,23,35,521,235,13,0,167,0,42,64,105,195
1400000US36081019000,2291,279,165,214,1270,231,31,47,149,100,0,11,627,259,49,46,12,18,37,43,"Census Tract 190, Queens County, New York",36,081,019000,2291,279,1923,212,48,58,1193,222,31,47,149,100,0,11,453,228,49,46,12,18,37,43,368,202,117,158,77,57,0,11,0,11,0,11,174,127,0,11,0,11,0,11,202,15,87,0,0,0,84,16,0,101
1400000US36081019200,2009,349,291,271,1319,271,0,11,95,88,0,11,199,153,105,93,41,58,64,74,"Census Tract 192, Queens County, New York",36,081,019200,2009,349,1457,287,20,16,1199,272,0,11,95,88,0,11,66,102,77,68,41,58,36,36,552,297,271,269,120,85,0,11,0,11,0,11,133,118,28,47,0,11,28,47,78,22,47,0,9,0,0,0,10,25
1400000US36081019400,2508,267,135,141,1594,251,0,11,188,135,0,11,440,173,151,86,64,60,87,62,"Census Tract 194, Queens County, New York",36,081,019400,2508,267,2285,275,0,11,1589,250,0,11,188,135,0,11,365,170,143,84,64,60,79,58,223,163,135,141,5,8,0,11,0,11,0,11,75,71,8,17,0,11,8,17,201,0,130,0,19,0,52,0,0,5
1400000US36081019600,2756,388,299,315,1423,353,0,11,302,214,0,11,687,359,45,39,22,27,23,24,"Census Tract 196, Queens County, New York",36,081,019600,2756,388,2205,406,24,17,1411,356,0,11,302,214,0,11,445,308,23,24,0,11,23,24,551,353,275,319,12,17,0,11,0,11,0,11,242,175,22,27,22,27,0,11,401,147,230,0,1,0,7,16,9,161
1400000US36081019800,2981,366,227,173,1288,261,10,15,479,218,0,11,708,272,269,185,212,175,57,61,"Census Tract 198, Queens County, New York",36,081,019800,2981,366,2205,307,16,24,1209,250,10,15,479,218,0,11,228,164,263,184,206,175,57,61,776,283,211,169,79,70,0,11,0,11,0,11,480,257,6,9,6,9,0,11,1018,107,395,10,178,0,298,30,16,368
1400000US36081019900,1074,282,273,139,258,101,6,11,92,79,0,11,348,177,97,93,56,58,41,48,"Census Tract 199, Queens County, New York",36,081,019900,1074,282,466,141,136,101,238,95,0,11,92,79,0,11,0,11,0,11,0,11,0,11,608,268,137,102,20,19,6,11,0,11,0,11,348,177,97,93,56,58,41,48,99,11,0,0,9,0,79,0,3,87
1400000US36081020200,1693,254,25,24,858,215,0,11,142,100,0,11,553,319,115,114,111,115,4,6,"Census Tract 202, Queens County, New York",36,081,020200,1693,254,1328,261,15,18,852,214,0,11,142,100,0,11,204,177,115,114,111,115,4,6,365,284,10,16,6,8,0,11,0,11,0,11,349,283,0,11,0,11,0,11,297,0,114,0,20,0,93,70,0,75
1400000US36081020400,2195,315,184,89,984,209,6,10,427,247,0,11,400,163,194,128,162,133,32,32,"Census Tract 204, Queens County, New York",36,081,020400,2195,315,1776,293,128,73,976,208,0,11,427,247,0,11,90,63,155,121,137,127,18,20,419,184,56,46,8,12,6,10,0,11,0,11,310,154,39,45,25,40,14,24,563,24,288,6,140,0,105,0,12,85
1400000US36081020500,994,153,647,157,18,20,0,11,85,41,0,11,244,117,0,11,0,11,0,11,"Census Tract 205, Queens County, New York",36,081,020500,994,153,230,63,149,60,1,5,0,11,80,39,0,11,0,11,0,11,0,11,0,11,764,160,498,162,17,19,0,11,5,7,0,11,244,117,0,11,0,11,0,11,177,114,6,0,15,0,42,0,19,142
1400000US36081020600,1855,236,339,154,492,157,7,11,333,149,0,11,676,258,8,12,0,11,8,12,"Census Tract 206, Queens County, New York",36,081,020600,1855,236,1001,219,151,70,390,143,0,11,333,149,0,11,119,139,8,12,0,11,8,12,854,253,188,147,102,87,7,11,0,11,0,11,557,235,0,11,0,11,0,11,169,31,6,0,20,0,112,0,0,143
1400000US36081020800,2554,364,471,208,713,288,0,11,253,154,0,11,1045,328,72,83,72,83,0,11,"Census Tract 208, Queens County, New York",36,081,020800,2554,364,1663,346,256,135,672,286,0,11,253,154,0,11,410,261,72,83,72,83,0,11,891,253,215,173,41,53,0,11,0,11,0,11,635,186,0,11,0,11,0,11,304,20,52,0,59,0,173,0,0,175
1400000US36081021200,2362,351,498,210,227,165,8,11,444,198,0,11,1004,263,181,118,71,62,110,102,"Census Tract 212, Queens County, New York",36,081,021200,2362,351,1007,277,136,122,191,138,8,11,444,198,0,11,76,62,152,110,67,62,85,92,1355,279,362,182,36,45,0,11,0,11,0,11,928,257,29,26,4,7,25,28,520,43,101,0,83,0,278,15,13,286
1400000US36081021400,6415,667,1414,465,436,211,0,16,2237,715,15,24,1808,774,505,317,358,292,147,126,"Census Tract 214, Queens County, New York",36,081,021400,6415,667,3858,681,679,207,408,208,0,16,2237,715,0,16,136,215,398,292,298,279,100,98,2557,610,735,483,28,33,0,16,0,16,15,24,1672,743,107,106,60,72,47,76,1839,396,26,0,690,0,703,24,66,1047
1400000US36081021600,4373,421,1754,329,483,206,77,107,900,284,0,11,867,395,292,161,81,114,211,109,"Census Tract 216, Queens County, New York",36,081,021600,4373,421,2772,425,1165,250,412,196,77,107,900,284,0,11,32,35,186,107,0,11,186,107,1601,380,589,216,71,53,0,11,0,11,0,11,835,393,106,127,81,114,25,27,485,212,0,0,123,0,21,129,130,154
1400000US36081021900,4,5,4,5,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,"Census Tract 219, Queens County, New York",36,081,021900,4,5,4,5,4,5,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,0,0,0,0,0,0,0,0,0
1400000US36081022001,5889,526,2069,479,818,283,17,28,1475,410,0,16,1219,615,291,147,130,98,161,85,"Census Tract 220.01, Queens County, New York",36,081,022001,5889,526,4106,478,1778,468,751,275,0,16,1437,405,0,16,13,21,127,75,31,35,96,67,1783,646,291,169,67,50,17,28,38,59,0,16,1206,613,164,107,99,96,65,57,532,141,109,0,167,0,47,68,73,211
1400000US36081022002,6421,565,2998,587,979,469,0,16,1274,437,0,16,766,390,404,234,238,256,166,126,"Census Tract 220.02, Queens County, New York",36,081,022002,6421,565,4906,600,2404,531,964,469,0,16,1263,434,0,16,67,104,208,222,154,229,54,51,1515,531,594,368,15,25,0,16,11,20,0,16,699,384,196,153,84,128,112,99,908,551,30,0,53,0,176,98,519,292
1400000US36081022900,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,"Census Tract 229, Queens County, New York",36,081,022900,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,0,0,0,0,0,0,0,0,0
1400000US36081023000,2430,387,908,290,19,14,0,11,884,391,0,11,585,290,34,30,6,9,28,28,"Census Tract 230, Queens County, New York",36,081,023000,2430,387,1370,385,431,149,19,14,0,11,884,391,0,11,8,14,28,28,0,11,28,28,1060,381,477,276,0,11,0,11,0,11,0,11,577,290,6,9,6,9,0,11,195,42,0,0,84,0,57,12,42,57
1400000US36081023200,5619,594,1464,393,685,293,0,16,1863,436,8,15,1223,434,376,255,88,74,288,245,"Census Tract 232, Queens County, New York",36,081,023200,5619,594,4051,612,1017,372,676,291,0,16,1841,440,8,15,144,152,365,255,77,74,288,245,1568,389,447,200,9,14,0,16,22,36,0,16,1079,401,11,15,11,15,0,16,847,279,200,0,227,0,106,35,235,151
1400000US36081023500,8855,1018,4610,1033,142,114,0,16,2858,785,0,16,1066,520,179,184,0,16,179,184,"Census Tract 235, Queens County, New York",36,081,023500,8855,1018,3869,792,795,302,56,65,0,16,2839,789,0,16,0,16,179,184,0,16,179,184,4986,1007,3815,1034,86,93,0,16,19,31,0,16,1066,520,0,16,0,16,0,16,2130,936,16,0,1044,0,134,0,73,1013
1400000US36081023600,2707,276,691,218,279,108,0,11,1110,241,0,11,486,207,141,95,20,16,121,90,"Census Tract 236, Queens County, New York",36,081,023600,2707,276,1751,292,294,142,204,89,0,11,1110,241,0,11,52,64,91,69,20,16,71,61,956,235,397,168,75,66,0,11,0,11,0,11,434,201,50,49,0,11,50,49,429,218,34,0,148,0,29,0,155,92
1400000US36081023800,4705,453,453,202,583,206,7,17,1616,384,0,11,1830,426,216,154,173,140,43,66,"Census Tract 238, Queens County, New York",36,081,023800,4705,453,2960,455,161,103,567,208,7,17,1616,384,0,11,521,249,88,121,88,121,0,11,1745,420,292,168,16,20,0,11,0,11,0,11,1309,412,128,98,85,73,43,66,1316,173,95,7,594,0,387,60,9,505
1400000US36081024000,6087,684,1099,512,974,343,61,86,1002,332,0,16,2466,539,485,268,212,182,273,187,"Census Tract 240, Queens County, New York",36,081,024000,6087,684,2946,533,160,139,918,341,0,16,992,334,0,16,566,348,310,212,192,182,118,106,3141,672,939,487,56,58,61,86,10,17,0,16,1900,480,175,158,20,31,155,156,1502,475,117,0,101,0,602,207,98,987
1400000US36081024300,6119,748,3586,725,41,51,0,16,1914,409,0,16,484,383,94,59,22,34,72,48,"Census Tract 243, Queens County, New York",36,081,024300,6119,748,3622,511,1578,350,30,48,0,16,1914,409,0,16,41,64,59,44,0,16,59,44,2497,738,2008,694,11,17,0,16,0,16,0,16,443,378,35,39,22,34,13,20,581,329,0,0,146,0,106,0,78,357
1400000US36081024500,6158,836,3763,797,99,88,27,43,1337,501,0,16,556,433,376,373,37,37,339,370,"Census Tract 245, Queens County, New York",36,081,024500,6158,836,3580,559,2074,401,99,88,27,43,1337,501,0,16,0,16,43,51,0,16,43,51,2578,951,1689,898,0,16,0,16,0,16,0,16,556,433,333,374,37,37,296,371,498,111,0,27,54,0,276,30,57,330
1400000US36081024600,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,"Census Tract 246, Queens County, New York",36,081,024600,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,0,0,0,0,0,0,0,0,0
1400000US36081024700,1574,191,556,184,35,36,0,11,595,162,0,11,350,149,38,41,19,28,19,30,"Census Tract 247, Queens County, New York",36,081,024700,1574,191,907,175,244,85,30,35,0,11,595,162,0,11,0,11,38,41,19,28,19,30,667,185,312,162,5,7,0,11,0,11,0,11,350,149,0,11,0,11,0,11,137,59,0,0,57,0,21,0,0,80
1400000US36081024900,5099,678,2243,387,74,45,59,93,2305,609,0,16,197,210,221,133,41,76,180,117,"Census Tract 249, Queens County, New York",36,081,024900,5099,678,3910,752,1463,428,56,36,0,16,2300,612,0,16,0,16,91,70,0,16,91,70,1189,460,780,309,18,25,59,93,5,13,0,16,197,210,130,122,41,76,89,98,695,157,20,0,428,0,28,62,82,152
1400000US36081025100,5909,737,3204,654,29,41,0,16,1988,572,0,16,614,399,74,59,18,29,56,52,"Census Tract 251, Queens County, New York",36,081,025100,5909,737,3713,637,1649,350,29,41,0,16,1964,573,0,16,15,25,56,52,0,16,56,52,2196,635,1555,590,0,16,0,16,24,38,0,16,599,393,18,29,18,29,0,16,544,261,0,0,239,0,44,0,197,108
1400000US36081025301,3967,405,2509,362,29,26,8,13,1111,330,0,11,268,151,42,44,0,11,42,44,"Census Tract 253.01, Queens County, New York",36,081,025301,3967,405,2790,351,1592,226,29,26,0,11,1111,330,0,11,16,24,42,44,0,11,42,44,1177,339,917,339,0,11,8,13,0,11,0,11,252,149,0,11,0,11,0,11,520,322,7,8,144,0,39,0,231,122
1400000US36081025302,2881,465,1754,440,46,28,81,122,663,256,0,11,259,221,78,72,0,11,78,72,"Census Tract 253.02, Queens County, New York",36,081,025302,2881,465,1367,326,556,203,19,21,81,122,663,256,0,11,0,11,48,66,0,11,48,66,1514,476,1198,449,27,24,0,11,0,11,0,11,259,221,30,32,0,11,30,32,543,246,0,0,248,0,49,0,88,207
1400000US36081025400,9094,1114,96,86,6113,891,58,84,843,566,0,16,1651,730,333,470,316,469,17,31,"Census Tract 254, Queens County, New York",36,081,025400,9094,1114,7293,848,7,9,6046,902,58,84,843,566,0,16,311,310,28,48,28,48,0,16,1801,769,89,85,67,60,0,16,0,16,0,16,1340,670,305,468,288,468,17,31,2402,68,1519,0,304,0,466,45,4,348
1400000US36081025500,1423,183,730,179,0,11,55,57,545,205,0,11,85,71,8,11,8,11,0,11,"Census Tract 255, Queens County, New York",36,081,025500,1423,183,1050,170,475,134,0,11,0,11,540,205,0,11,35,54,0,11,0,11,0,11,373,87,255,101,0,11,55,57,5,8,0,11,50,39,8,11,8,11,0,11,156,53,0,0,73,0,30,0,33,50
1400000US36081025700,1327,185,695,161,55,78,0,11,425,127,0,11,65,73,87,66,43,45,44,40,"Census Tract 257, Queens County, New York",36,081,025700,1327,185,906,185,357,108,55,78,0,11,407,125,0,11,0,11,87,66,43,45,44,40,421,158,338,137,0,11,0,11,18,27,0,11,65,73,0,11,0,11,0,11,121,93,0,0,16,0,12,0,58,47
1400000US36081025800,2048,269,154,110,1493,263,0,11,139,149,0,11,256,168,6,9,6,9,0,11,"Census Tract 258, Queens County, New York",36,081,025800,2048,269,1768,263,39,64,1478,264,0,11,139,149,0,11,112,98,0,11,0,11,0,11,280,175,115,92,15,23,0,11,0,11,0,11,144,136,6,9,6,9,0,11,259,32,173,0,0,0,54,0,0,86
1400000US36081025900,3353,446,1478,425,54,40,0,11,1437,327,0,11,293,209,91,76,7,12,84,75,"Census Tract 259, Queens County, New York",36,081,025900,3353,446,1930,354,449,181,7,11,0,11,1383,305,0,11,7,11,84,75,0,11,84,75,1423,465,1029,444,47,38,0,11,54,74,0,11,286,208,7,12,7,12,0,11,445,51,0,0,287,0,79,28,14,116
1400000US36081026000,2818,306,93,72,1982,324,0,11,118,83,0,11,612,228,13,14,0,11,13,14,"Census Tract 260, Queens County, New York",36,081,026000,2818,306,2093,313,0,11,1898,317,0,11,118,83,0,11,77,51,0,11,0,11,0,11,725,220,93,72,84,79,0,11,0,11,0,11,535,221,13,14,0,11,13,14,987,16,877,0,7,0,87,0,0,176
1400000US36081026100,7098,915,2752,891,331,350,0,16,3127,644,0,16,650,350,238,147,71,70,167,123,"Census Tract 261, Queens County, New York",36,081,026100,7098,915,3998,584,559,187,141,112,0,16,3115,640,0,16,16,26,167,123,0,16,167,123,3100,928,2193,885,190,278,0,16,12,22,0,16,634,348,71,70,71,70,0,16,1852,718,0,0,863,0,252,19,74,927
1400000US36081026200,1208,182,25,28,988,169,0,11,17,19,0,11,146,77,32,43,4,6,28,37,"Census Tract 262, Queens County, New York",36,081,026200,1208,182,1062,175,0,11,953,176,0,11,17,19,0,11,92,71,0,11,0,11,0,11,146,89,25,28,35,36,0,11,0,11,0,11,54,58,32,43,4,6,28,37,247,0,215,0,0,0,32,0,0,32
1400000US36081026300,7124,959,2031,808,31,35,0,16,3816,921,0,16,1021,691,225,206,22,34,203,202,"Census Tract 263, Queens County, New York",36,081,026300,7124,959,4776,902,747,267,31,35,0,16,3816,921,0,16,18,28,164,188,0,16,164,188,2348,968,1284,761,0,16,0,16,0,16,0,16,1003,691,61,83,22,34,39,73,1588,540,0,0,935,0,96,17,174,462
1400000US36081026400,2365,346,189,167,1714,360,0,11,71,56,0,11,362,171,29,22,18,19,11,13,"Census Tract 264, Queens County, New York",36,081,026400,2365,346,1844,345,20,15,1680,354,0,11,71,56,0,11,44,49,29,22,18,19,11,13,521,193,169,167,34,31,0,11,0,11,0,11,318,167,0,11,0,11,0,11,377,55,256,0,0,0,66,0,0,126
1400000US36081026500,4127,407,1041,282,24,22,0,11,2774,477,0,11,259,248,29,26,11,17,18,19,"Census Tract 265, Queens County, New York",36,081,026500,4127,407,3218,418,412,181,24,22,0,11,2764,480,0,11,0,11,18,19,0,11,18,19,909,345,629,256,0,11,0,11,10,15,0,11,259,248,11,17,11,17,0,11,701,180,0,0,372,0,149,0,63,266
1400000US36081026600,1933,283,75,117,1516,291,48,63,103,86,0,11,180,154,11,17,0,11,11,17,"Census Tract 266, Queens County, New York",36,081,026600,1933,283,1701,277,0,11,1504,291,48,63,103,86,0,11,35,34,11,17,0,11,11,17,232,180,75,117,12,12,0,11,0,11,0,11,145,147,0,11,0,11,0,11,481,15,288,6,80,0,92,0,0,113
1400000US36081026700,6563,628,2931,533,40,49,127,102,2329,376,0,16,851,516,285,145,61,69,224,141,"Census Tract 267, Queens County, New York",36,081,026700,6563,628,2900,405,299,114,40,49,96,92,2299,378,0,16,0,16,166,107,41,64,125,97,3663,717,2632,531,0,16,31,50,30,37,0,16,851,516,119,116,20,24,99,112,1196,403,0,32,464,0,271,26,41,659
1400000US36081026901,5089,635,2166,730,10,15,0,16,2067,470,0,16,743,368,103,93,0,16,103,93,"Census Tract 269.01, Queens County, New York",36,081,026901,5089,635,2390,465,210,133,10,15,0,16,2067,470,0,16,26,42,77,79,0,16,77,79,2699,779,1956,746,0,16,0,16,0,16,0,16,717,358,26,43,0,16,26,43,938,193,0,0,494,0,251,0,36,408
1400000US36081026902,4557,733,1479,721,109,80,0,11,2514,436,0,11,340,324,115,85,115,85,0,11,"Census Tract 269.02, Queens County, New York",36,081,026902,4557,733,2759,428,170,77,75,59,0,11,2514,436,0,11,0,11,0,11,0,11,0,11,1798,777,1309,722,34,54,0,11,0,11,0,11,340,324,115,85,115,85,0,11,1000,491,0,0,402,0,107,0,43,555
1400000US36081027000,2080,273,166,175,1598,318,0,11,10,37,0,11,306,246,0,11,0,11,0,11,"Census Tract 270, Queens County, New York",36,081,027000,2080,273,1688,252,14,14,1556,313,0,11,10,37,0,11,108,151,0,11,0,11,0,11,392,248,152,166,42,39,0,11,0,11,0,11,198,200,0,11,0,11,0,11,609,6,465,0,10,0,128,0,6,143
1400000US36081027100,8512,988,2514,773,259,159,162,162,3951,877,0,16,1240,576,386,309,176,154,210,262,"Census Tract 271, Queens County, New York",36,081,027100,8512,988,4926,879,479,250,190,152,97,110,3951,877,0,16,0,16,209,264,36,58,173,256,3586,845,2035,766,69,58,65,107,0,16,0,16,1240,576,177,154,140,143,37,58,1706,143,0,97,721,0,708,37,73,815
1400000US36081027200,2432,325,5,9,2266,344,0,11,0,11,0,11,131,97,30,40,0,11,30,40,"Census Tract 272, Queens County, New York",36,081,027200,2432,325,2310,333,5,9,2189,353,0,11,0,11,0,11,86,98,30,40,0,11,30,40,122,81,0,11,77,61,0,11,0,11,0,11,45,43,0,11,0,11,0,11,317,5,297,0,0,0,0,15,5,9
1400000US36081027300,8196,888,5425,1099,273,149,18,28,713,267,0,16,1351,521,416,284,131,172,285,210,"Census Tract 273, Queens County, New York",36,081,027300,8196,888,1424,310,253,125,167,107,0,16,713,267,0,16,167,205,124,99,0,16,124,99,6772,953,5172,1095,106,102,18,28,0,16,0,16,1184,466,292,264,131,172,161,189,2100,1214,97,18,244,0,207,320,63,1685
1400000US36081027400,1781,270,185,178,1266,245,0,11,75,68,0,11,201,168,54,52,43,49,11,17,"Census Tract 274, Queens County, New York",36,081,027400,1781,270,1455,231,0,11,1225,233,0,11,75,68,0,11,111,126,44,50,33,47,11,17,326,215,185,178,41,53,0,11,0,11,0,11,90,101,10,15,10,15,0,11,96,38,58,0,0,0,0,0,0,38
1400000US36081027500,7489,946,5076,1016,155,94,0,16,918,367,0,16,1258,672,82,119,82,119,0,16,"Census Tract 275, Queens County, New York",36,081,027500,7489,946,1555,443,539,215,98,88,0,16,918,367,0,16,0,16,0,16,0,16,0,16,5934,1021,4537,1045,57,67,0,16,0,16,0,16,1258,672,82,119,82,119,0,16,1634,1380,19,0,51,0,166,18,96,1487
1400000US36081027600,1262,191,9,13,1070,193,0,11,32,42,0,11,112,103,39,46,30,42,9,20,"Census Tract 276, Queens County, New York",36,081,027600,1262,191,1064,195,4,6,989,200,0,11,32,42,0,11,0,11,39,46,30,42,9,20,198,115,5,7,81,64,0,11,0,11,0,11,112,103,0,11,0,11,0,11,119,0,76,0,0,0,43,0,0,51
1400000US36081027700,7638,797,4841,731,268,282,45,59,969,514,64,100,1094,538,357,248,30,35,327,245,"Census Tract 277, Queens County, New York",36,081,027700,7638,797,2188,580,785,230,99,77,30,52,969,514,64,100,32,50,209,179,0,16,209,179,5450,866,4056,738,169,273,15,24,0,16,0,16,1062,536,148,157,30,35,118,152,1373,678,14,15,115,0,521,30,39,1175
1400000US36081027800,2437,294,60,43,2012,266,0,11,11,18,0,11,244,203,110,85,27,27,83,80,"Census Tract 278, Queens County, New York",36,081,027800,2437,294,1982,265,0,11,1896,269,0,11,11,18,0,11,6,10,69,81,0,11,69,81,455,223,60,43,116,102,0,11,0,11,0,11,238,199,41,32,27,27,14,15,599,15,441,0,0,0,75,68,0,152
1400000US36081027900,6233,806,3608,875,238,156,0,16,779,256,0,16,1400,483,208,145,83,87,125,100,"Census Tract 279, Queens County, New York",36,081,027900,6233,806,2050,353,924,225,147,115,0,16,779,256,0,16,38,59,162,118,37,60,125,100,4183,858,2684,872,91,100,0,16,0,16,0,16,1362,479,46,63,46,63,0,16,901,584,18,0,65,0,234,0,47,787
1400000US36081028000,1775,288,0,11,1462,273,0,11,0,11,0,11,288,165,25,31,0,11,25,31,"Census Tract 280, Queens County, New York",36,081,028000,1775,288,1502,277,0,11,1439,275,0,11,0,11,0,11,38,61,25,31,0,11,25,31,273,157,0,11,23,23,0,11,0,11,0,11,250,157,0,11,0,11,0,11,39,0,39,0,0,0,0,0,0,0
1400000US36081028100,4435,664,3510,730,65,47,40,46,276,157,0,11,424,243,120,105,76,91,44,43,"Census Tract 281, Queens County, New York",36,081,028100,4435,664,1625,359,1278,336,44,35,0,11,259,156,0,11,0,11,44,43,0,11,44,43,2810,689,2232,689,21,30,40,46,17,27,0,11,424,243,76,91,76,91,0,11,426,270,12,0,8,0,90,46,46,360
1400000US36081028200,1703,192,23,26,1482,197,0,11,22,24,0,11,124,95,52,48,36,40,16,12,"Census Tract 282, Queens County, New York",36,081,028200,1703,192,1559,190,23,26,1450,195,0,11,22,24,0,11,12,17,52,48,36,40,16,12,144,98,0,11,32,35,0,11,0,11,0,11,112,92,0,11,0,11,0,11,119,0,111,0,0,0,8,0,0,15
1400000US36081028300,7318,742,4335,609,259,332,17,32,1371,664,0,16,1239,596,97,92,78,88,19,30,"Census Tract 283, Queens County, New York",36,081,028300,7318,742,2882,661,1431,333,22,33,0,16,1351,663,0,16,78,82,0,16,0,16,0,16,4436,788,2904,628,237,330,17,32,20,32,0,16,1161,586,97,92,78,88,19,30,1274,695,83,17,187,0,292,0,151,926
1400000US36081028400,4367,552,86,75,3793,565,0,11,0,11,0,11,441,280,47,53,0,11,47,53,"Census Tract 284, Queens County, New York",36,081,028400,4367,552,4008,557,29,38,3763,569,0,11,0,11,0,11,169,179,47,53,0,11,47,53,359,302,57,64,30,31,0,11,0,11,0,11,272,288,0,11,0,11,0,11,990,0,858,0,0,0,132,0,0,141
1400000US36081028500,5120,555,3482,561,118,102,51,48,682,392,0,16,478,404,309,221,129,108,180,239,"Census Tract 285, Queens County, New York",36,081,028500,5120,555,2840,463,1880,414,118,102,0,16,644,390,0,16,0,16,198,241,18,33,180,239,2280,593,1602,471,0,16,51,48,38,60,0,16,478,404,111,92,111,92,0,16,956,485,0,0,104,0,272,95,100,790
